timestamp,L1.V,L1.P,L1.Q,L1.S,L1.I,L1.PF,F,measure_cons
2022-02-20T00:00:00.000Z,231.2,260.4,111.9,283.6,1.352,0.918,50,260.4
2022-02-20T00:01:00.000Z,232.8,352.3,227.7,421.4,1.951,0.844,50,352.3
2022-02-20T00:02:00.000Z,232.5,387.3,284.4,480.5,2.141,0.806,50,387.3
2022-02-20T00:03:00.000Z,232.8,382.8,288.2,479,2.131,0.798,49.9,382.8
2022-02-20T00:04:00.000Z,233.5,378.9,290.3,477.3,2.118,0.793,50,378.9
2022-02-20T00:05:00.000Z,233.8,377.5,291.8,477.2,2.114,0.791,50,377.5
2022-02-20T00:06:00.000Z,233.3,375.2,287.8,472.7,2.101,0.793,50.1,375.2
2022-02-20T00:07:00.000Z,232.8,371.4,286.2,468.7,2.088,0.792,50.1,371.4
2022-02-20T00:08:00.000Z,231.9,370.5,282.3,465.7,2.083,0.795,50,370.5
2022-02-20T00:09:00.000Z,231.8,365.2,283.5,462.6,2.069,0.789,50,365.2
2022-02-20T00:10:00.000Z,231.6,339.5,291.6,447.6,2.008,0.758,50,339.5
2022-02-20T00:11:00.000Z,231.7,338.6,292.9,447.7,2.007,0.756,49.9,338.6
2022-02-20T00:12:00.000Z,232.7,339.4,297.5,451.4,2.013,0.751,50,339.4
2022-02-20T00:13:00.000Z,232.9,339.1,297.4,451,2.01,0.751,50,339.1
2022-02-20T00:14:00.000Z,232.8,338.4,298.2,451,2.011,0.75,49.9,338.4
2022-02-20T00:15:00.000Z,232.9,339,298.3,451.5,2.012,0.75,49.9,339
2022-02-20T00:16:00.000Z,233,343,299,455,2.034,0.753,49.9,343
2022-02-20T00:17:00.000Z,233,353,294.2,459.5,2.055,0.767,49.9,353
2022-02-20T00:18:00.000Z,232.1,316.1,246.9,402.2,1.83,0.794,49.9,316.1
2022-02-20T00:19:00.000Z,231.8,224.2,125.9,257.1,1.252,0.872,49.9,224.2
2022-02-20T00:20:00.000Z,232.1,223.8,126.9,257.2,1.248,0.869,49.9,223.8
2022-02-20T00:21:00.000Z,233.8,224.6,132.2,260.6,1.251,0.861,49.9,224.6
2022-02-20T00:22:00.000Z,233.9,227,131.4,262.3,1.263,0.865,50,227
2022-02-20T00:23:00.000Z,233.8,226.1,131.6,261.5,1.259,0.864,49.9,226.1
2022-02-20T00:24:00.000Z,233.8,224.8,131.5,260.5,1.25,0.863,50,224.8
2022-02-20T00:25:00.000Z,234.1,224.8,132.1,260.6,1.248,0.862,50,224.8
2022-02-20T00:26:00.000Z,234.2,225.8,132.2,261.6,1.253,0.863,50,225.8
2022-02-20T00:27:00.000Z,234.4,223.9,133.1,260.5,1.242,0.859,50,223.9
2022-02-20T00:28:00.000Z,234.3,226.6,132.5,262.5,1.259,0.863,50,226.6
2022-02-20T00:29:00.000Z,234.2,222.7,132.9,259.3,1.236,0.859,50,222.7
2022-02-20T00:30:00.000Z,234.2,221.8,132.9,258.5,1.231,0.857,50,221.8
2022-02-20T00:31:00.000Z,234.3,221.7,133.1,258.6,1.231,0.857,50,221.7
2022-02-20T00:32:00.000Z,234,220.6,131.8,257,1.225,0.858,50,220.6
2022-02-20T00:33:00.000Z,233.9,221.6,131.5,257.6,1.229,0.86,50,221.6
2022-02-20T00:34:00.000Z,233.9,220.5,131.4,256.6,1.224,0.859,50,220.5
2022-02-20T00:35:00.000Z,232.6,219.8,127,253.8,1.22,0.865,50,219.8
2022-02-20T00:36:00.000Z,232.2,219.2,126.2,252.8,1.218,0.866,50,219.2
2022-02-20T00:37:00.000Z,230.1,217.5,119.7,248.2,1.209,0.876,50,217.5
2022-02-20T00:38:00.000Z,230.6,217.7,120.9,249,1.209,0.874,50,217.7
2022-02-20T00:39:00.000Z,231.7,218.8,124.4,251.6,1.214,0.869,50,218.8
2022-02-20T00:40:00.000Z,232.7,219.5,127.5,253.7,1.218,0.864,50,219.5
2022-02-20T00:41:00.000Z,234.3,220.7,131.7,256.9,1.223,0.858,50.1,220.7
2022-02-20T00:42:00.000Z,234.3,220.9,131.8,257.2,1.225,0.858,50.1,220.9
2022-02-20T00:43:00.000Z,234.6,221.9,132.2,258.2,1.228,0.858,50.1,221.9
2022-02-20T00:44:00.000Z,234.6,224.4,128.2,258.4,1.226,0.868,50.1,224.4
