timestamp,L1.V,L1.P,L1.Q,L1.S,L1.I,L1.PF,F,measure_cons
2022-02-20T00:00:00.000Z,0,0,231.2,0,0,0,50,0
2022-02-20T00:01:00.000Z,0,0,232.8,0,0,0,50,0
2022-02-20T00:02:00.000Z,0,0,232.6,0,0,0,50,0
2022-02-20T00:03:00.000Z,0,0,232.8,0,0,0,49.9,0
2022-02-20T00:04:00.000Z,0,0,233.5,0,0,0,50,0
2022-02-20T00:05:00.000Z,0,0,233.8,0,0,0,50,0
2022-02-20T00:06:00.000Z,0,0,233.3,0,0,0,50.1,0
2022-02-20T00:07:00.000Z,0,0,232.9,0,0,0,50.1,0
2022-02-20T00:08:00.000Z,0,0,231.9,0,0,0,50,0
2022-02-20T00:09:00.000Z,0,0,231.8,0,0,0,50,0
2022-02-20T00:10:00.000Z,0,0,231.6,0,0,0,50,0
2022-02-20T00:11:00.000Z,0,0,231.7,0,0,0,49.9,0
2022-02-20T00:12:00.000Z,0,0,232.7,0,0,0,50,0
2022-02-20T00:13:00.000Z,0,0,232.9,0,0,0,50,0
2022-02-20T00:14:00.000Z,0,0,232.9,0,0,0,49.9,0
2022-02-20T00:15:00.000Z,0,0,233,0,0,0,50,0
2022-02-20T00:16:00.000Z,0,0,233,0,0,0,49.9,0
2022-02-20T00:17:00.000Z,0,0,233.1,0,0,0,49.9,0
2022-02-20T00:18:00.000Z,0,0,232.1,0,0,0,49.9,0
2022-02-20T00:19:00.000Z,0,0,231.8,0,0,0,49.9,0
2022-02-20T00:20:00.000Z,0,0,232.1,0,0,0,49.9,0
2022-02-20T00:21:00.000Z,0,0,233.9,0,0,0,49.9,0
2022-02-20T00:22:00.000Z,0,0,233.9,0,0,0,50,0
2022-02-20T00:23:00.000Z,0.1,0.1,233.8,0,0,0.006,49.9,0
2022-02-20T00:24:00.000Z,0,0,233.8,0,0,0,50,0
2022-02-20T00:25:00.000Z,0,0,234.1,0,0,0,50,0
2022-02-20T00:26:00.000Z,0,0,234.3,0,0,0,50,0
2022-02-20T00:27:00.000Z,0,0,234.4,0,0,0,50,0
2022-02-20T00:28:00.000Z,0.1,0.1,234.3,0,0,0.006,50,0
2022-02-20T00:29:00.000Z,0,0,234.3,0,0,0,50,0
2022-02-20T00:30:00.000Z,0,0,234.2,0,0,0,50,0
2022-02-20T00:31:00.000Z,0,0,234.4,0,0,0,50,0
2022-02-20T00:32:00.000Z,0.1,0.1,234,0,0,0.006,50,0
2022-02-20T00:33:00.000Z,0.1,0.1,233.9,0,0,0.005,50,0
2022-02-20T00:34:00.000Z,0.1,0.1,233.9,0,0,0.005,50,0
2022-02-20T00:35:00.000Z,0,0,232.6,0,0,0,50,0
2022-02-20T00:36:00.000Z,0,0,232.3,0,0,0,50,0
2022-02-20T00:37:00.000Z,0,0,230.1,0,0,0,50,0
2022-02-20T00:38:00.000Z,0,0,230.6,0,0,0,50.1,0
2022-02-20T00:39:00.000Z,0,0,231.8,0,0,0,50,0
2022-02-20T00:40:00.000Z,0,0,232.8,0,0,0,50,0
2022-02-20T00:41:00.000Z,0.1,0.1,234.3,0,0,0.006,50.1,0
2022-02-20T00:42:00.000Z,0,0,234.3,0,0,0,50.1,0
2022-02-20T00:43:00.000Z,0,0,234.6,0,0,0,50.1,0
2022-02-20T00:44:00.000Z,0,0,234.7,0,0,0,50.1,0
2022-02-20T00:45:00.000Z,0,0,234.2,0,0,0,50.1,0
2022-02-20T00:46:00.000Z,0,0,234.5,0,0,0,50.1,0
2022-02-20T00:47:00.000Z,0.1,0.1,234.4,0,0,0.005,50.1,0
2022-02-20T00:48:00.000Z,0,0,234.5,0,0,0,50.1,0
2022-02-20T00:49:00.000Z,0.2,0.2,234.6,0,0.001,0.01,50.4,0
2022-02-20T00:50:00.000Z,0,0,234.5,0,0,0,50.4,0
2022-02-20T00:51:00.000Z,0,0,234.7,0,0,0,50.4,0
2022-02-20T00:52:00.000Z,0,0,234,0,0,0,50.3,0
2022-02-20T00:53:00.000Z,0,0,233.4,0,0,0,50.3,0
2022-02-20T00:54:00.000Z,0.1,0.1,233.7,0,0,0.005,50.3,0
2022-02-20T00:55:00.000Z,0,0,234,0,0,0,50.2,0
2022-02-20T00:56:00.000Z,0.1,0.1,234.7,0,0,0.005,50.1,0
2022-02-20T00:57:00.000Z,0,0,234.6,0,0,0,50.1,0
2022-02-20T00:58:00.000Z,0,0,234.3,0,0,0,50.2,0
2022-02-20T00:59:00.000Z,0,0,234.1,0,0,0,50.2,0
2022-02-20T01:00:00.000Z,1,1.1,234.3,-0.3,-0.003,-0.063,50.1,-0.3
2022-02-20T01:01:00.000Z,0,0,234.5,0,0,0,50.1,0
2022-02-20T01:02:00.000Z,0,0,234.5,0,0,0,50.1,0
2022-02-20T01:03:00.000Z,0.2,0.2,234.3,0.1,0.001,0.011,50.1,0.1
2022-02-20T01:04:00.000Z,0,0,234.4,0,0,0,50.2,0
2022-02-20T01:05:00.000Z,0,0,234.2,0,0,0,50.2,0
2022-02-20T01:06:00.000Z,0,0,234.7,0,0,0,50.2,0
2022-02-20T01:07:00.000Z,0,0,235.1,0,0,0,50,0
2022-02-20T01:08:00.000Z,0,0,235.2,0,0,0,50,0
2022-02-20T01:09:00.000Z,0,0,235.5,0,0,0,50,0
2022-02-20T01:10:00.000Z,0,0,235.4,0,0,0,50,0
2022-02-20T01:11:00.000Z,0.1,0.1,234.9,0,0,0.005,50,0
2022-02-20T01:12:00.000Z,0,0,235.3,0,0,0,50,0
2022-02-20T01:13:00.000Z,0.1,0.1,235.5,0,0,0.006,50,0
2022-02-20T01:14:00.000Z,0,0,235.6,0,0,0,50,0
2022-02-20T01:15:00.000Z,0,0,235.3,0,0,0,49.9,0
2022-02-20T01:16:00.000Z,0,0,235.3,0,0,0,50,0
2022-02-20T01:17:00.000Z,0.1,0.1,235.1,0,0,0.005,50,0
2022-02-20T01:18:00.000Z,0,0,235.3,0,0,0,50,0
2022-02-20T01:19:00.000Z,0,0,235.3,0,0,0,49.9,0
2022-02-20T01:20:00.000Z,0.1,0.1,235.2,0,0,0.005,50,0
2022-02-20T01:21:00.000Z,0,0,233.6,0,0,0,50,0
2022-02-20T01:22:00.000Z,0,0,232.6,0,0,0,50,0
2022-02-20T01:23:00.000Z,0.1,0.1,232.6,0,0,0.006,50,0
2022-02-20T01:24:00.000Z,0,0,232.8,0,0,0,50,0
2022-02-20T01:25:00.000Z,0,0,235,0,0,0,50,0
2022-02-20T01:26:00.000Z,0.1,0.1,235.5,0,0,0.006,50,0
2022-02-20T01:27:00.000Z,0,0,234.9,0,0,0,50,0
2022-02-20T01:28:00.000Z,0,0,234.5,0,0,0,50,0
2022-02-20T01:29:00.000Z,0,0,233.3,0,0,0,50,0
2022-02-20T01:30:00.000Z,0,0,233.6,0,0,0,50,0
2022-02-20T01:31:00.000Z,0,0,234.5,0,0,0,50,0
2022-02-20T01:32:00.000Z,0,0,235.2,0,0,0,50,0
2022-02-20T01:33:00.000Z,0,0,235.2,0,0,0,50,0
2022-02-20T01:34:00.000Z,0,0,235.1,0,0,0,50,0
2022-02-20T01:35:00.000Z,0,0,234.9,0,0,0,49.9,0
2022-02-20T01:36:00.000Z,0,0,234.8,0,0,0,49.9,0
2022-02-20T01:37:00.000Z,0,0,235.3,0,0,0,49.9,0
2022-02-20T01:38:00.000Z,0,0,235.8,0,0,0,50.1,0
2022-02-20T01:39:00.000Z,0,0,235.6,0,0,0,50,0
2022-02-20T01:40:00.000Z,0,0,235.5,0,0,0,50,0
2022-02-20T01:41:00.000Z,0.1,0.1,235.3,0,0,0.005,50,0
2022-02-20T01:42:00.000Z,0,0,234.8,0,0,0,50,0
2022-02-20T01:43:00.000Z,0,0,235,0,0,0,50,0
2022-02-20T01:44:00.000Z,0,0,234.8,0,0,0,49.9,0
2022-02-20T01:45:00.000Z,0,0,235.2,0,0,0,50,0
2022-02-20T01:46:00.000Z,0,0,235,0,0,0,49.9,0
2022-02-20T01:47:00.000Z,0.1,0.1,235,0,0,0.005,49.9,0
2022-02-20T01:48:00.000Z,0.2,0.2,235.1,0,0.001,0.01,50,0
2022-02-20T01:49:00.000Z,0,0,235.4,0,0,0,50,0
2022-02-20T01:50:00.000Z,0.1,0.1,235.3,0,0,0.005,49.9,0
2022-02-20T01:51:00.000Z,0,0,235,0,0,0,49.9,0
2022-02-20T01:52:00.000Z,0.1,0.2,234.9,0.1,0.001,0.011,49.9,0.1
2022-02-20T01:53:00.000Z,0.1,0.1,234.9,0,0,0.005,49.9,0
2022-02-20T01:54:00.000Z,0,0,235.1,0,0,0,49.9,0
2022-02-20T01:55:00.000Z,0,0,235.2,0,0,0,49.9,0
2022-02-20T01:56:00.000Z,0.1,0.1,235.6,0,0,0.005,49.9,0
2022-02-20T01:57:00.000Z,0,0,235.7,0,0,0,49.9,0
2022-02-20T01:58:00.000Z,0,0,235.7,0,0,0,49.9,0
2022-02-20T01:59:00.000Z,0.2,0.2,235.7,0,0.001,0.01,49.9,0
2022-02-20T02:00:00.000Z,0,0,235.6,0,0,0,49.9,0
2022-02-20T02:01:00.000Z,0,0,235.6,0,0,0,49.9,0
2022-02-20T02:02:00.000Z,0,0,235.8,0,0,0,49.9,0
2022-02-20T02:03:00.000Z,0,0,235.6,0,0,0,49.9,0
2022-02-20T02:04:00.000Z,0.2,0.2,235.4,0,0.001,0.01,50,0
2022-02-20T02:05:00.000Z,0,0,235.7,0,0,0,49.9,0
2022-02-20T02:06:00.000Z,0,0,236,0,0,0,49.9,0
2022-02-20T02:07:00.000Z,0,0,236.3,0,0,0,50,0
2022-02-20T02:08:00.000Z,0,0,236.5,0,0,0,50,0
2022-02-20T02:09:00.000Z,0,0,236.5,0,0,0,50,0
2022-02-20T02:10:00.000Z,0,0,236,0,0,0,49.9,0
2022-02-20T02:11:00.000Z,0,0,235.9,0,0,0,49.9,0
2022-02-20T02:12:00.000Z,0,0,233.6,0,0,0,50,0
2022-02-20T02:13:00.000Z,0,0,233.8,0,0,0,50,0
2022-02-20T02:14:00.000Z,0,0,233.7,0,0,0,50,0
2022-02-20T02:15:00.000Z,0,0,234.7,0,0,0,49.9,0
2022-02-20T02:16:00.000Z,0,0,236.1,0,0,0,49.9,0
2022-02-20T02:17:00.000Z,0,0,236.2,0,0,0,49.9,0
2022-02-20T02:18:00.000Z,0,0,236.2,0,0,0,49.9,0
2022-02-20T02:19:00.000Z,0.1,0.1,236.3,0,0,0.005,49.9,0
2022-02-20T02:20:00.000Z,0.1,0.1,236.3,0,0,0.005,50,0
2022-02-20T02:21:00.000Z,0,0,236.2,0,0,0,49.9,0
2022-02-20T02:22:00.000Z,0.1,0.1,236.2,0,0,0.006,49.9,0
2022-02-20T02:23:00.000Z,0.1,0.1,236.1,0,0,0.005,50,0
2022-02-20T02:24:00.000Z,0,0,236.2,0,0,0,50,0
2022-02-20T02:25:00.000Z,0,0,236.1,0,0,0,49.9,0
2022-02-20T02:26:00.000Z,0,0,236.1,0,0,0,50,0
2022-02-20T02:27:00.000Z,0,0,233.1,0,0,0,50,0
2022-02-20T02:28:00.000Z,0,0,231.5,0,0,0,49.9,0
2022-02-20T02:29:00.000Z,0,0,231.4,0,0,0,49.9,0
2022-02-20T02:30:00.000Z,0,0,231.4,0,0,0,49.9,0
2022-02-20T02:31:00.000Z,0,0,231.4,0,0,0,49.9,0
2022-02-20T02:32:00.000Z,0,0,231.5,0,0,0,49.9,0
2022-02-20T02:33:00.000Z,0,0,231.5,0,0,0,49.9,0
2022-02-20T02:34:00.000Z,0,0,231.3,0,0,0,49.9,0
